,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,tcs37,tcs38,tcs39,tcs40,tcs41,tcs42,tc43,tc44,tc45,tc46,tc47,tc48,tc49,tc50,tc51,tc52,tc53,dv54,ae55,ae56,ae57,ae58,ae59,ae60,ae61,ae62,ae63,ae64,ae65,ae66,ae67,ae68,d69,d70
1651,0.0,143270.1,100.0,0.0,0.0,63090564.44,4199850.0,0.0,6240000.0,17.0,643.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325907.70399999997,15266089.96,8.0,1020.0,-0.6337438725153426,0.0,0.0,0.0,0.0,0.0,132,31.0,1.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1370,0.0,1403461.97,90.0,10.0,29.0,8013913.779999999,8177030.69,44951.9,0.0,12.0,475.0,6.0,5700426.25,0.0,0.0,20223.0,0.0,2.0,62781.08,0.0,62781.08,2.0,0.0,0.0,0.0,4.0,1290.0,6.6995322654076315,100.0,0.0,2.0,100.0,0.0,228,31.0,1.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2649,19800.24,63401.41,100.0,0.0,0.0,323384.6,67610.22,0.0,0.0,4.0,634.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-0.5036665661577255,0.0,0.0,0.0,0.0,0.0,64,31.0,1.0,31.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
564,0.0,10585032.22,100.0,0.0,5.0,29596681.95,186964.54,0.0,4500000.0,11.0,649.0,6.0,3219970.31,0.0,0.0,0.0,0.0,0.0,0.0,604199.98,0.0,0.0,0.0,25190001.07,2559635.98,8.0,18.0,-1.9703716686214023,0.0,0.0,0.0,0.0,0.0,720,31.0,1.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2728,0.0,11259663.09,78.0,22.0,0.0,33626595.70999999,0.0,0.0,3972827.7,24.0,795.0,6.0,247181.79,0.0,0.0,848.0,848.0,0.0,0.0,0.0,0.0,0.0,0.0,30846.513,16134256.08,0.0,487.0,-1.2880421673919744,0.0,100.0,0.0,0.0,0.0,968,31.0,1.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2696,0.0,0.0,100.0,0.0,0.0,1000000.0,0.0,0.0,900000.0,10.0,732.0,6.0,0.0,1943.0,0.0,0.0,1943.0,0.0,0.0,22318.019999999997,0.0,0.0,0.0,2684773.09,19540.0,2.0,34.0,-1.64720810346823,0.0,100.0,0.0,0.0,0.0,21,31.0,1.0,31.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
173,0.0,130436.41,100.0,0.0,0.0,235523510.04999998,9907068.37,0.0,0.0,29.0,848.0,6.0,235523510.04999998,0.0,0.0,381.0,0.0,0.0,100847.83,0.0,0.0,0.0,0.0,94408419.565,321797.04000000004,10.0,11579.0,-0.984004923506876,100.0,0.0,0.0,0.0,0.0,1104,30.0,1.0,30.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1939,0.0,2714579.6,100.0,0.0,3.0,14721342.79,0.0,0.0,3071719.0,23.0,726.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111137.18,0.0,0.0,1.0,109334.98300000001,15626645.839999998,8.0,280.0,-1.3864623993404157,0.0,0.0,1.0,0.0,100.0,655,28.0,29.0,28.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2512,0.0,6400113.2,100.0,0.0,5.0,33084267.45,0.0,0.0,0.0,24.0,803.0,6.0,415224.89,0.0,0.0,1188.0,1188.0,0.0,0.0,0.0,0.0,0.0,0.0,16292.585,15094391.059999999,0.0,613.0,-0.642603537839324,0.0,100.0,0.0,0.0,0.0,907,31.0,153.0,31.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1151,0.0,0.0,100.0,0.0,1.0,37887067.98,41951397.14,0.0,8000000.0,46.0,406.0,6.0,0.0,0.0,0.0,2725.0,2725.0,0.0,0.0,427309.04000000004,0.0,0.0,0.0,53039837.847,0.0,28.0,2657.0,3.757532114995854,0.0,100.0,0.0,0.0,0.0,25,31.0,62.0,31.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
872,0.0,6467007.87,100.0,0.0,5.0,26936569.639999993,0.0,0.0,0.0,24.0,797.0,6.0,469843.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22218.143,13381237.059999999,0.0,585.0,-0.7911893275870407,0.0,0.0,0.0,0.0,0.0,876,30.0,122.0,30.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1727,0.0,1080840.87,0.0,100.0,21.0,787618.45,0.0,0.0,0.0,10.0,316.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,280067.44,128377.71,0.0,23.0,5344.279,0.0,0.0,6.0,-0.54323380741228,0.0,0.0,23.0,0.0,100.0,311,31.0,154.0,31.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
